"id","nombre y apellido","edad","fecha_nacimiento","altura","peso","fecha_carga"
"42","José García","71","12/04/1954","1.78","91.2","2025-06-07 22:49:09"
"43","Lucía Rodríguez","36","18/06/1979","1.57","94.1","2024-04-17 05:33:48"
"44","Lucía Pérez","49","21/03/1977","1.43","90.8","2020-03-21 20:57:36"
"45","Sofía García","85","12/07/1940","1.83","97.4","2022-06-22 17:46:33"
"46","Lucía Rodríguez","46","06/02/1979","1.74","67.2","2021-06-06 22:39:20"
"47","José Gómez","51","08/05/1975","0.3","92.7","2023-09-02 07:42:22"
"48","Miguel Martínez","55","12/04/1970","1.88","68.2","2020-08-01 12:44:30"
"49","Lucía Pérez","0","01/02/2010","1.87","56.0","2021-06-01 17:14:30"
"50","María Romero","66","22/07/1959","1.48","78.4","2021-11-01 11:19:28"
"51","María Romero","84","21/04/1942","1.88","66.8","2022-09-21 03:42:36"
"52","Carlos Romero","76","10/11/1950","1.57","68.6","2023-10-29 00:27:38"
"53","Sofía García","76","20/06/1949","1.81","83.9","2023-01-11 22:25:28"
"54","José García","45","14/09/1981","1.56","58.5","2025-01-20 08:52:43"
"55","Miguel Romero","31","03/10/1994","0.3","71.8","2023-02-19 21:42:19"
"56","Carlos Torres","84","28/11/1940","1.76","71.9","2025-07-03 16:19:03"
"57","Juan Pérez","60","25/05/1966","1.73","65.3","2023-09-16 12:48:32"
"58","Miguel Rodríguez","57","05/07/1967","1.56","85.9","2022-02-23 07:52:41"
"59","Miguel Rodríguez","21","02/01/2005","1.89","90.8","2023-05-23 00:30:54"
"60","José López","6","10/08/1964","1.75","51.9","2020-02-20 20:54:03"
"61","Carlos García","42","12/12/1982","1.53","92.4","2025-07-07 02:41:50"
"62","Laura Gómez","73","11/08/1953","1.44","58.7","2022-07-13 19:01:34"
"63","Sofía García","47","20/09/1979","1.55","79.2","2022-05-01 22:46:27"
"64","Lucía Rodríguez","30","01/04/1999","1.44","45.1","2023-04-07 01:11:18"
"65","Lucía Rodríguez","22","04/06/2003","1.52","59.6","2022-03-21 15:28:43"
"66","María Torres","65","02/03/1960","1.44","54.1","2023-03-28 15:59:20"
"67","María García","24","13/10/2001","vacio","72.2","2024-11-04 11:44:07"
"68","Laura Rodríguez","86","27/04/1942","1.69","97.3","2023-01-08 20:58:49"
"69","Juan López","43","18/03/1982","1.49","77.2","2021-01-08 17:06:45"
"70","Ana Sánchez","55","25/11/1969","1.56","83.2","2020-05-30 16:33:34"
"71","María Martínez","63","23/08/1962","1.81","45.1","2020-08-10 06:49:46"
"72","José Martínez","31","10/11/1995","1.43","59.7","2025-06-08 04:25:15"
"73","Juan Romero","64","20/06/1961","1.68","50.1","2025-03-05 04:16:36"
"74","Pedro García","22","15/04/2004","1.82","98.9","2024-04-20 06:56:23"
"75","Laura Torres","18","14/12/2006","1.8","67.8","2020-01-11 10:17:52"
"76","Carlos Romero","33","10/01/1992","1.62","71.6","2024-03-25 16:34:42"
"77","Ana Fernández","23","29/07/2002","1.79","47.4","2024-04-10 14:03:24"
"78","Pedro García","83","28/04/1943","1.45","91.5","2020-03-03 05:14:54"
"79","Sofía López","79","17/09/1946","1.75","80.7","2024-04-05 11:31:45"
"80","Miguel Torres","81","22/03/1943","1.86","99.9","2021-02-07 23:04:26"
"81","María García","70","04/12/1954","2.5","64.7","2024-08-14 20:36:17"
"82","Pedro López","111","15/09/1955","1.74","72.4","2022-11-06 16:43:56"
"83","Carlos Gómez","45","27/09/1981","1.44","97.0","2024-10-03 09:06:20"
"84","Miguel Rodríguez","68","14/11/1957","1.59","64.7","2020-03-30 23:57:55"
"85","Sofía Rodríguez","86","22/09/1940","1.89","95.1","2023-03-18 08:22:42"
"86","Laura Martínez","67","25/08/1959","1.78","87.2","2021-02-01 22:50:42"
"87","Juan Rodríguez","16","01/10/2010","1.47","95.0","2022-04-02 04:48:42"
"88","José Martínez","38","16/08/1987","1.53","90.4","2023-10-19 04:11:35"
"89","Miguel Pérez","72","17/08/1952","1.76","98.9","2024-02-07 03:17:16"
"90","Sofía Gómez","62","22/09/1963","1.77","59.4","2024-03-01 03:56:41"
"91","Lucía García","84","31/03/1942","1.71","80.6","2023-05-22 23:38:17"
"92","Sofía Pérez","4","16/07/1952","1.65","50.3","2025-02-01 13:30:29"
"93","José Sánchez","32","09/09/1992","1.73","90.9","2023-02-19 01:11:28"
"94","Ana Fernández","45","11/10/1979","1.45","82.7","2024-01-09 02:12:16"
"95","Sofía Rodríguez","68","10/01/1957","1.51","80.2","2023-09-28 08:52:05"
"96","Pedro Romero","97","30/05/1958","1.69","89.7","2020-01-12 10:05:42"
"97","Pedro López","36","18/06/1988","1.83","52.2","2023-08-19 00:34:28"
"98","Pedro Rodríguez","81","13/09/1944","1.77","71.2","2021-03-22 16:27:25"
"99","José Fernández","100","08/03/1995","vacio","61.6","2025-05-15 14:37:20"
"100","Sofía Pérez","42","26/12/1983","1.44","78.5","2023-08-24 13:52:05"
"101","Laura Torres","60","16/06/1966","1.8","51.3","2022-05-30 15:39:30"
"102","Miguel Fernández","48","14/02/1977","1.76","62.2","2021-09-17 17:16:03"
"103","María Pérez","12","29/08/1947","1.59","52.2","2023-09-12 04:27:01"
"104","Sofía Martínez","26","09/09/1999","1.76","98.3","2025-09-09 07:44:44"
"105","Pedro García","65","13/02/1960","1.58","86.9","2020-04-17 22:10:22"
"106","Carlos Gómez","69","08/03/1956","1.58","55.0","2020-10-12 05:09:55"
"107","Juan Pérez","19","08/12/2006","1.57","65.4","2020-12-13 01:54:55"
"108","Pedro López","19","07/09/2007","1.62","68.3","2022-06-01 18:39:14"
"109","María Martínez","0","27/07/1978","1.64","81.7","2020-08-12 00:16:47"
"110","Lucía Rodríguez","67","13/12/1958","1.46","72.4","2022-07-31 18:12:50"
"111","José Martínez","80","19/06/1946","0.3","92.4","2024-09-06 10:32:27"
"112","María Sánchez","83","14/11/1941","1.71","90.8","2021-03-09 08:51:31"
"113","Sofía Romero","50","04/12/1975","1.77","57.2","2021-04-12 19:19:07"
"114","José Fernández","17","21/08/2009","1.72","53.1","2021-12-11 21:55:57"
"115","Pedro Pérez","71","22/11/1955","1.78","86.8","2023-08-16 22:50:10"
"116","Ana López","56","15/06/1979","1.8","77.5","2025-03-06 16:27:13"
"117","Juan Gómez","51","29/01/1973","1.89","50.0","2020-06-17 16:22:27"
"118","Laura Fernández","58","04/11/1968","1.43","50.7","2020-12-11 18:22:12"
"119","Pedro Gómez","63","24/03/1962","1.7","65.0","2023-10-17 21:46:06"
"120","Juan Martínez","81","29/11/1945","1.54","84.8","2021-09-07 12:08:14"
"121","María Romero","26","15/07/1999","1.73","81.4","2020-12-13 11:16:17"
"122","José Sánchez","27","23/09/1997","1.81","85.6","2024-09-30 18:30:48"
"123","Ana Gómez","52","12/07/1972","1.78","55.6","2023-04-26 03:40:56"
"124","José Torres","18","07/04/2006","1.84","79.0","2022-01-10 22:44:45"
"125","Pedro García","83","02/12/1943","1.88","78.6","2022-08-16 19:26:33"
"126","Lucía Rodríguez","14","15/05/2010","1.87","99.1","2024-04-13 18:18:36"
"127","José Sánchez","72","16/07/1954","1.53","80.3","2021-02-24 18:47:01"
"128","María Rodríguez","78","11/07/1947","1.66","90.7","2025-01-21 12:43:40"
"129","Juan Sánchez","0","11/10/1944","1.9","65.6","2023-10-05 05:19:02"
"130","Pedro Gómez","60","26/09/1965","vacio","83.8","2020-11-20 00:41:30"
"131","Carlos Fernández","73","31/05/1953","1.61","87.7","2022-09-03 15:17:07"
"132","Laura García","80","20/08/1945","1.41","73.3","2024-10-24 00:03:25"
"133","Laura Martínez","63","31/07/1961","1.44","98.6","2025-09-09 18:28:55"
"134","José Gómez","0","11/01/1975","1.89","59.0","2023-11-13 08:46:44"
"135","María Romero","19","15/12/2005","1.75","54.6","2025-05-14 23:00:02"
"136","Pedro López","80","29/08/1945","0.3","93.7","2024-06-19 19:46:16"
"137","Miguel Rodríguez","81","14/04/1943","1.83","47.6","2024-02-16 15:54:32"
"138","Sofía García","50","08/09/1974","1.65","95.8","2024-10-04 02:52:25"
"139","Sofía Romero","69","10/03/1956","1.56","61.3","2021-11-13 16:09:43"
"140","Ana García","82","19/10/1943","1.62","80.2","2024-07-21 13:13:39"
"141","José López","84","17/10/1942","1.62","51.9","2024-01-23 13:56:21"
"142","Laura Gómez","31","14/04/1994","1.59","87.0","2024-06-18 11:26:47"
"143","Carlos Fernández","23","06/03/1950","1.59","75.9","2025-01-01 07:48:44"
"144","Laura Rodríguez","23","05/04/2002","1.47","49.1","2020-12-25 11:38:09"
"145","Ana Pérez","36","05/05/1989","1.76","96.0","2025-09-14 08:09:51"
"146","María Fernández","73","16/06/1952","2.5","70.7","2020-12-19 02:23:37"
"147","Carlos Sánchez","22","26/04/2004","1.6","76.6","2020-10-30 16:22:59"
"148","Miguel Torres","56","28/11/1970","1.49","98.1","2020-08-14 04:31:14"
"149","José López","58","14/04/1967","1.51","97.1","2020-11-19 09:07:27"
"150","Lucía Torres","61","15/08/1964","1.45","80.3","2021-12-02 23:59:01"
"151","Laura Romero","56","16/04/1970","0.3","47.5","2022-05-13 20:49:51"
"152","Sofía Romero","113","29/04/1997","1.54","97.6","2024-07-21 10:49:45"
"153","Miguel Pérez","56","11/10/2001","1.63","63.7","2023-07-31 12:34:28"
"154","Sofía López","18","29/03/2008","1.52","51.7","2020-07-26 10:33:58"
"155","Sofía Romero","47","06/07/1977","1.87","84.7","2025-03-27 18:09:33"
"156","Carlos García","50","29/01/1942","1.88","56.8","2025-07-20 21:45:17"
"157","Miguel Rodríguez","13","24/02/1988","1.84","85.0","2024-06-28 01:51:45"
"158","Laura Torres","68","18/06/1957","1.65","87.0","2021-05-01 04:41:04"
"159","María Sánchez","52","24/06/1973","1.58","52.9","2020-06-13 01:38:58"
"160","Juan López","21","07/01/2004","1.47","94.1","2023-07-28 05:54:59"
"161","Sofía Romero","20","30/04/2006","1.81","74.3","2020-03-09 13:24:41"
"162","Ana Pérez","49","15/05/1977","1.71","77.8","2022-07-21 01:52:11"
"163","Laura García","71","19/04/1955","vacio","53.1","2021-03-26 06:56:46"
"164","Juan García","57","22/02/1968","1.61","87.6","2020-09-12 05:01:38"
"165","José Fernández","36","27/04/1990","1.59","97.6","2023-12-22 23:25:19"
"166","Carlos Romero","41","09/06/1983","1.55","96.8","2022-04-29 17:48:14"
"167","Ana García","55","17/04/1971","1.46","82.2","2023-11-14 05:19:58"
"168","Carlos Gómez","59","21/10/1965","1.62","59.1","2023-01-15 20:27:44"
"169","Carlos López","77","19/10/1949","1.43","94.8","2021-02-14 15:02:52"
"170","Ana García","75","07/01/1949","0.3","67.4","2025-05-09 23:41:07"
"171","Lucía Rodríguez","56","24/10/1968","1.44","76.6","2020-06-01 06:22:26"
"172","Sofía López","82","05/04/1943","1.49","86.2","2020-06-02 00:20:14"
"173","Carlos Romero","31","28/01/1994","1.89","74.9","2025-08-27 17:02:24"
"174","Carlos Fernández","76","08/02/1950","1.53","55.2","2022-03-02 06:23:22"
"175","Laura Sánchez","46","15/05/1978","1.45","99.0","2020-01-28 09:29:41"
"176","Sofía Fernández","45","29/01/1980","1.76","45.6","2020-09-11 04:18:15"
"177","Miguel Rodríguez","72","30/04/1954","1.84","87.3","2023-04-23 13:22:54"
"178","Laura Fernández","66","29/08/1959","1.77","78.3","2025-04-12 19:34:13"
"179","Lucía Fernández","23","13/01/2001","1.66","64.9","2025-09-01 07:21:37"
"180","Laura Torres","73","11/06/1953","1.74","84.4","2024-12-29 02:01:32"
"181","Miguel López","40","17/01/1986","1.63","89.4","2020-01-13 07:56:00"
"182","Laura Pérez","82","24/01/1944","1.9","96.4","2020-05-09 10:27:09"
"183","Sofía López","18","26/12/2008","1.72","68.1","2024-03-26 13:40:36"
"184","María Torres","74","06/12/1951","1.9","66.6","2020-01-15 00:49:39"
"185","Carlos García","25","03/06/2000","1.81","58.6","2021-04-07 01:10:22"
"186","Sofía Romero","16","22/09/2008","1.43","77.7","2020-07-18 08:54:37"
"187","Juan Sánchez","45","19/05/1979","1.79","52.7","2023-07-30 21:01:30"
"188","Laura Martínez","63","02/04/1961","1.66","67.7","2021-12-18 22:47:30"
"189","Sofía Torres","44","18/06/1984","1.74","88.2","2021-09-03 10:55:06"
"190","Sofía López","17","06/09/2007","1.55","83.9","2024-08-17 15:09:52"
"191","José Torres","73","11/01/1952","1.72","95.7","2022-02-19 01:52:35"
"192","Carlos Sánchez","24","08/06/2000","1.49","86.9","2025-05-17 07:36:19"
"193","Ana Rodríguez","83","17/05/1941","1.46","100.0","2022-04-17 14:26:27"
"194","Lucía Torres","57","07/11/1968","1.72","62.0","2025-03-23 03:35:24"
"195","Miguel Martínez","67","23/03/1958","2.63","53.0","2024-09-06 10:44:51"
"196","Pedro Fernández","57","05/08/1969","1.65","81.0","2025-06-24 23:21:48"
"197","Miguel García","70","03/02/1955","1.76","71.9","2020-08-28 19:04:34"
"198","Juan Pérez","0","13/12/1999","vacio","57.7","2025-09-02 16:36:10"
"199","Ana Gómez","31","06/06/1995","1.73","45.9","2020-03-09 19:16:31"
"200","Carlos Torres","104","20/09/1965","1.62","96.7","2021-09-01 08:46:24"
"201","Lucía Romero","38","25/03/1987","1.6","65.5","2022-07-14 10:55:18"
"202","María Gómez","77","21/05/1948","1.43","45.5","2024-11-12 23:28:49"
"203","Ana Romero","76","21/07/1948","1.85","83.1","2020-10-31 10:12:29"
"204","José Romero","118","15/01/1999","1.41","56.4","2024-06-19 02:48:04"
"205","Carlos López","35","05/08/1990","1.67","66.1","2020-11-17 18:13:59"
"206","Ana Gómez","76","05/10/1948","1.78","97.5","2020-05-01 23:05:15"
"207","Carlos García","42","06/01/1984","1.62","82.4","2023-04-24 08:58:22"
"208","María Pérez","62","15/01/1964","1.48","66.4","2023-06-16 16:11:32"
"209","Ana Rodríguez","75","03/03/1949","1.68","73.2","2021-01-16 21:44:00"
"210","Laura Martínez","52","24/07/1974","1.44","94.6","2021-11-25 13:51:43"
"211","Pedro López","61","15/02/1964","1.48","60.2","2024-01-19 09:09:50"
"212","Lucía García","32","09/04/1993","1.55","97.2","2023-09-11 16:01:40"
"213","Ana Sánchez","26","29/05/1998","1.7","83.2","2024-06-19 11:37:10"
"214","Carlos García","34","31/08/1991","1.81","66.6","2022-01-06 20:01:42"
"215","Juan García","22","20/07/2003","1.43","91.6","2021-07-24 23:03:32"
"216","Carlos Fernández","64","01/09/1962","1.59","69.7","2025-09-06 15:13:47"
"217","José Gómez","16","09/12/2010","1.67","80.1","2023-12-25 06:03:22"
"218","Laura Gómez","36","12/07/1990","1.88","63.2","2021-02-07 09:25:13"
"219","Lucía Torres","19","01/01/2007","1.51","65.6","2025-08-11 05:29:18"
"220","Ana Gómez","42","24/04/1983","1.44","90.7","2023-11-06 16:34:41"
"221","Lucía Torres","41","29/04/1983","1.75","62.5","2021-04-16 00:49:20"
"222","Ana Pérez","26","30/09/2000","1.49","53.8","2022-08-07 14:44:50"
"223","Pedro López","28","17/06/1997","vacio","69.7","2022-05-29 07:29:32"
"224","Carlos Pérez","35","18/10/1991","1.56","70.2","2023-07-07 21:44:06"
"225","Sofía Romero","50","20/03/1975","1.63","54.5","2020-12-13 04:52:36"
"226","Ana Pérez","63","27/05/1961","1.47","66.4","2024-09-28 06:45:47"
"227","Miguel Torres","22","18/03/2002","1.64","52.7","2020-08-07 13:04:19"
"228","Juan García","73","31/03/1952","1.65","72.2","2024-12-23 17:47:34"
"229","Pedro Pérez","97","21/09/1990","1.42","57.4","2025-07-21 20:00:53"
"230","José Pérez","0","19/05/1991","1.58","90.2","2022-06-14 15:28:45"
"231","María Fernández","58","16/09/1966","1.57","89.9","2022-08-28 07:38:29"
"232","Laura Martínez","22","06/10/2003","1.47","56.4","2023-12-07 19:22:47"
"233","Carlos Romero","38","02/05/1988","1.69","97.4","2021-01-25 04:56:11"
"234","Sofía Gómez","60","17/11/1964","1.47","53.0","2024-05-27 17:49:14"
"235","Pedro Romero","29","25/09/1996","1.44","88.7","2023-02-13 13:26:14"
"236","Miguel García","57","12/05/1969","1.89","79.9","2024-06-17 07:55:51"
"237","Sofía Fernández","41","19/05/1984","1.69","76.1","2020-07-17 01:40:21"
"238","María García","83","17/06/1941","1.4","97.7","2021-06-24 23:39:56"
"239","Carlos López","46","01/08/1964","1.59","94.7","2023-06-05 08:31:29"
"240","Sofía Pérez","27","17/02/2003","vacio","57.4","2023-11-08 04:23:26"
"241","Sofía López","49","09/11/1982","1.8","50.7","2024-04-16 04:50:51"
"242","Pedro Pérez","39","05/08/1987","1.62","84.7","2024-08-13 22:25:50"
"243","Miguel Fernández","77","11/10/1947","1.69","66.1","2021-07-26 09:01:17"
"244","Carlos Pérez","0","06/04/1962","1.54","96.8","2023-05-20 07:28:48"
"245","José Romero","40","17/09/1985","1.43","94.4","2021-04-06 08:46:39"
"246","Miguel Romero","78","15/05/1946","1.87","52.3","2024-02-05 19:53:32"
"247","Pedro García","75","10/02/2009","1.53","47.2","2025-09-06 10:25:50"
"248","José Sánchez","47","31/12/1977","1.67","53.4","2022-04-12 05:39:25"
"249","José Martínez","51","20/01/1975","1.43","83.4","2020-08-25 08:54:04"
"250","María Sánchez","76","28/05/1950","vacio","81.2","2021-07-16 00:24:47"
"251","Pedro García","55","07/02/1971","1.59","86.2","2021-04-28 01:04:07"
"252","Ana Sánchez","61","26/05/1964","1.69","49.2","2025-08-08 20:38:22"
"253","Pedro Martínez","70","10/02/1954","vacio","51.3","2020-02-20 08:54:13"
"254","Juan García","52","26/08/1972","1.88","46.9","2024-09-13 08:10:27"
"255","Ana Fernández","48","05/05/1977","1.44","65.5","2022-01-04 08:07:33"
"256","José Gómez","59","20/12/1975","1.79","62.1","2024-02-20 07:18:22"
"257","Carlos Romero","16","19/05/2010","1.58","98.5","2022-10-01 05:28:55"
"258","Juan Sánchez","83","22/02/1942","1.75","45.5","2024-03-21 11:11:46"
"259","María Fernández","38","13/07/1987","1.43","99.8","2022-08-06 18:55:25"
"260","Sofía Martínez","43","16/02/1981","1.65","80.0","2020-09-12 15:50:14"
"261","Pedro Fernández","59","02/03/1966","1.6","90.8","2022-08-14 02:43:09"
"262","Lucía López","15","20/12/2009","1.48","70.6","2022-04-30 16:27:13"
"263","Carlos García","61","10/10/1963","vacio","90.5","2023-09-04 05:24:01"
"264","María Fernández","0","30/11/1971","1.53","99.5","2025-01-26 20:14:29"
"265","José Fernández","76","30/06/1948","1.43","88.0","2024-06-28 13:33:10"
"266","María Romero","32","31/07/1992","0.43","69.4","2023-09-20 04:27:39"
"267","Juan García","82","17/07/1944","1.76","72.3","2023-12-20 07:49:03"
"268","Pedro Rodríguez","59","08/02/1965","0.3","80.6","2025-05-16 02:13:12"
"269","María Rodríguez","50","12/05/1974","1.8","58.7","2020-03-20 13:55:34"
"270","Ana García","37","06/11/1988","1.65","66.4","2022-06-16 01:04:00"
"271","Carlos Gómez","44","26/04/1982","1.89","50.5","2020-08-17 07:59:18"
"272","Laura Sánchez","53","31/10/1971","1.7","89.3","2020-04-25 12:48:15"
"273","Laura Romero","72","30/09/1952","1.81","98.4","2020-06-04 03:17:10"
"274","Juan Fernández","33","23/12/1993","1.57","78.8","2021-12-27 11:46:53"
"275","Juan Gómez","71","02/04/1953","1.82","92.3","2024-06-08 21:20:10"
"276","María Martínez","57","27/01/1967","1.62","80.2","2024-01-01 08:07:40"
"277","Laura López","53","11/12/1973","1.49","45.1","2020-05-12 06:37:45"
"278","Laura Martínez","32","06/11/1994","1.65","63.2","2023-08-01 06:06:45"
"279","María Martínez","26","26/01/1980","vacio","59.1","2024-04-29 15:57:18"
"280","Sofía López","48","21/02/1977","1.59","90.6","2022-07-12 05:55:19"
"281","Miguel Pérez","83","30/12/1942","1.45","63.8","2020-11-03 19:55:02"
"282","María Martínez","32","17/04/1993","1.62","80.9","2020-08-07 03:41:12"
"283","Ana Fernández","69","16/01/1957","1.76","59.6","2020-07-22 14:18:18"
"284","Laura Torres","41","17/01/1984","0.49","79.4","2022-04-27 06:13:11"
"285","Carlos Pérez","43","26/06/1982","1.64","94.2","2024-05-06 06:43:52"
"286","Ana Sánchez","51","20/02/1973","1.63","57.4","2021-01-31 03:07:13"
"287","Ana Torres","49","20/02/1977","1.43","66.3","2025-04-28 20:51:06"
"288","Lucía García","115","23/10/1966","1.42","76.4","2021-08-26 04:22:45"
"289","Miguel López","70","30/12/1954","1.61","99.4","2021-08-28 21:39:54"
"290","Carlos Martínez","19","25/03/2005","1.68","75.4","2020-02-20 22:41:05"
"291","Laura Torres","15","16/02/2010","1.68","77.0","2021-03-08 20:29:12"
"292","María Rodríguez","37","20/01/1988","1.73","76.5","2024-07-08 05:14:15"
"293","Laura Romero","0","28/01/2001","1.84","83.0","2023-01-05 13:33:36"
"294","Juan Martínez","58","10/03/1967","1.74","98.5","2024-12-19 11:40:56"
"295","Carlos Sánchez","30","10/04/1994","1.86","67.4","2024-03-11 02:02:47"
"296","José López","81","20/11/1945","1.79","73.8","2022-04-02 02:05:53"
"297","Lucía Gómez","46","12/12/1980","1.54","90.3","2021-05-22 01:06:45"
"298","Lucía Martínez","41","07/11/1983","1.64","75.3","2022-11-25 03:17:27"
"299","Carlos Gómez","109","05/09/1974","1.88","92.1","2023-01-07 23:43:24"
"300","Sofía Torres","85","19/10/1941","2.76","54.5","2023-06-05 23:24:05"
"301","Carlos Sánchez","52","10/10/1973","1.63","82.2","2021-02-23 00:16:03"
"302","José Martínez","36","15/05/1990","1.74","71.5","2023-08-24 10:04:51"
"303","Carlos Rodríguez","68","24/11/1956","1.8","89.1","2021-07-27 00:55:36"
"304","Miguel Rodríguez","62","10/04/1963","1.42","83.9","2022-06-29 19:27:55"
"305","Miguel Martínez","39","06/07/1985","1.84","55.0","2022-11-25 20:21:13"
"306","Pedro Martínez","45","17/09/1998","1.84","68.1","2023-04-19 16:53:06"
"307","María García","82","24/10/1944","1.71","71.0","2024-04-12 19:17:26"
"308","Carlos Sánchez","80","06/11/1944","1.5","67.5","2025-02-17 05:12:52"
"309","Ana López","0","18/11/2009","1.49","79.9","2021-11-21 20:58:54"
"310","Pedro García","14","11/06/2010","1.62","68.6","2020-01-20 01:22:24"
"311","José Fernández","0","20/07/2005","vacio","74.2","2022-10-16 08:14:17"
"312","Ana Rodríguez","75","26/07/1951","1.48","90.3","2023-10-15 15:47:21"
"313","Pedro Martínez","0","23/12/1983","1.85","89.7","2021-06-21 07:41:21"
"314","Juan Romero","40","09/04/1985","1.8","65.6","2020-07-18 21:37:26"
"315","Juan Pérez","26","20/08/1998","1.61","65.9","2021-09-19 07:28:54"
"316","Juan Rodríguez","49","04/10/1977","1.71","83.5","2025-09-26 22:29:22"
"317","María Rodríguez","75","24/03/1950","1.5","59.5","2024-08-05 10:45:12"
"318","Pedro Gómez","0","05/03/1989","1.64","57.9","2021-03-28 20:54:15"
"319","Miguel López","76","30/01/1948","1.45","59.1","2023-04-27 09:36:59"
"320","Miguel Gómez","76","14/12/1948","1.58","82.2","2020-07-06 00:21:07"
"321","Pedro López","56","26/06/1969","1.53","85.3","2021-04-11 14:35:30"
"322","Sofía García","62","21/05/1964","1.8","80.7","2020-08-28 05:48:12"
"323","María Sánchez","34","30/12/1992","vacio","65.9","2021-06-19 17:35:18"
"324","Miguel Pérez","48","23/11/1976","1.56","83.8","2022-07-06 12:19:01"
"325","José Torres","23","29/09/2001","1.76","71.5","2021-08-31 20:19:43"
"326","Laura Gómez","83","16/01/1941","1.63","72.3","2023-08-06 08:46:14"
"327","Ana Rodríguez","82","07/07/1944","1.6","57.9","2025-01-09 03:12:16"
"328","Miguel García","0","09/05/1968","1.41","67.2","2021-01-07 21:59:54"
"329","Laura Rodríguez","41","09/08/1985","1.88","65.0","2025-02-04 12:05:12"
"330","José Romero","33","28/10/1993","vacio","50.4","2023-12-25 23:04:15"
"331","Carlos Torres","38","30/10/1986","0.3","90.2","2022-11-07 22:14:25"
"332","Lucía Fernández","75","31/10/1950","1.81","55.5","2020-07-09 23:03:20"
"333","Laura Pérez","16","09/04/2009","1.88","52.4","2020-07-17 20:08:32"
"334","Sofía Romero","41","29/04/1983","1.49","89.8","2023-08-11 18:21:14"
"335","Sofía Sánchez","30","20/08/1994","1.88","98.4","2024-08-17 21:56:14"
